"","page","pathlength","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","1",112064,"",""
"4052","Information on Aerial Spraying | Zika virus | CDC","66",3,"",""
"4053","Information on Aerial Spraying | Zika virus | CDC","56",3,"",""
"4054","Information on Aerial Spraying | Zika virus | CDC","28",3,"",""
"4055","Information on Aerial Spraying | Zika virus | CDC","26",3,"",""
"4056","Information on Aerial Spraying | Zika virus | CDC","24",3,"",""
"4057","Information on Aerial Spraying | Zika virus | CDC","22",3,"",""
"4058","Information on Aerial Spraying | Zika virus | CDC","1434",2,"",""
"4059","Information on Aerial Spraying | Zika virus | CDC","59",2,"",""
"4060","Information on Aerial Spraying | Zika virus | CDC","55",2,"",""
"4061","Information on Aerial Spraying | Zika virus | CDC","46",2,"",""
"4062","Information on Aerial Spraying | Zika virus | CDC","45",2,"",""
"4063","Information on Aerial Spraying | Zika virus | CDC","43",2,"",""
"4064","Information on Aerial Spraying | Zika virus | CDC","40",2,"",""
"4065","Information on Aerial Spraying | Zika virus | CDC","37",2,"",""
"4066","Information on Aerial Spraying | Zika virus | CDC","30",2,"",""
"4067","Information on Aerial Spraying | Zika virus | CDC","20",2,"",""
"4068","Information on Aerial Spraying | Zika virus | CDC","116",1,"",""
"4069","Information on Aerial Spraying | Zika virus | CDC","93",1,"",""
"4070","Information on Aerial Spraying | Zika virus | CDC","90",1,"",""
"4071","Information on Aerial Spraying | Zika virus | CDC","89",1,"",""
"4072","Information on Aerial Spraying | Zika virus | CDC","71",1,"",""
"4073","Information on Aerial Spraying | Zika virus | CDC","64",1,"",""
"4074","Information on Aerial Spraying | Zika virus | CDC","61",1,"",""
"4075","Information on Aerial Spraying | Zika virus | CDC","58",1,"",""
"4076","Information on Aerial Spraying | Zika virus | CDC","51",1,"",""
"4077","Information on Aerial Spraying | Zika virus | CDC","50",1,"",""
"4078","Information on Aerial Spraying | Zika virus | CDC","48",1,"",""
"4079","Information on Aerial Spraying | Zika virus | CDC","47",1,"",""
"4080","Information on Aerial Spraying | Zika virus | CDC","38",1,"",""
"4081","Information on Aerial Spraying | Zika virus | CDC","34",1,"",""
"4082","Information on Aerial Spraying | Zika virus | CDC","33",1,"",""
"4083","Information on Aerial Spraying | Zika virus | CDC","32",1,"",""
"4084","Information for Parents | Zika virus | CDC","1",1283,"",""
"4085","Information for Parents | Zika virus | CDC","2",428,"",""
"4086","Information for Parents | Zika virus | CDC","3",296,"",""
"4087","Information for Parents | Zika virus | CDC","4",186,"",""
"4088","Information for Parents | Zika virus | CDC","5",179,"",""
"4089","Information for Parents | Zika virus | CDC","7",125,"",""
"4090","Information for Parents | Zika virus | CDC","6",124,"",""
"4091","Information for Parents | Zika virus | CDC","8",112,"",""
"4092","Information for Parents | Zika virus | CDC","9",84,"",""
"4093","Information for Parents | Zika virus | CDC","10",63,"",""
"4094","Information for Parents | Zika virus | CDC","11",57,"",""
"4095","Information for Parents | Zika virus | CDC","14",46,"",""
"4096","Information for Parents | Zika virus | CDC","12",38,"",""
"4097","Information for Parents | Zika virus | CDC","15",37,"",""
"4098","Information for Parents | Zika virus | CDC","13",37,"",""
"4099","Information for Parents | Zika virus | CDC","17",30,"",""
"4100","Information for Parents | Zika virus | CDC","16",24,"",""
"4101","Information for Parents | Zika virus | CDC","20",20,"",""
"4102","Information for Parents | Zika virus | CDC","18",17,"",""
"4103","Information for Parents | Zika virus | CDC","24",14,"",""
"4104","Information for Parents | Zika virus | CDC","21",13,"",""
"4105","Information for Parents | Zika virus | CDC","32",10,"",""
"4106","Information for Parents | Zika virus | CDC","22",10,"",""
"4107","Information for Parents | Zika virus | CDC","23",9,"",""
"4108","Information for Parents | Zika virus | CDC","19",9,"",""
"4109","Information for Parents | Zika virus | CDC","59",7,"",""
"4110","Information for Parents | Zika virus | CDC","47",7,"",""
"4111","Information for Parents | Zika virus | CDC","25",7,"",""
"4112","Information for Parents | Zika virus | CDC","26",6,"",""
"4113","Information for Parents | Zika virus | CDC","28",5,"",""
"4114","Information for Parents | Zika virus | CDC","27",5,"",""
"4115","Information for Parents | Zika virus | CDC","108",4,"",""
"4116","Information for Parents | Zika virus | CDC","37",4,"",""
"4117","Information for Parents | Zika virus | CDC","35",4,"",""
"4118","Information for Parents | Zika virus | CDC","39",3,"",""
"4119","Information for Parents | Zika virus | CDC","34",3,"",""
"4120","Information for Parents | Zika virus | CDC","102",2,"",""
"4121","Information for Parents | Zika virus | CDC","29",2,"",""
"4122","Information for Parents | Zika virus | CDC","1434",1,"",""
"4123","Information for Parents | Zika virus | CDC","204",1,"",""
"4124","Information for Parents | Zika virus | CDC","66",1,"",""
"4125","Information for Parents | Zika virus | CDC","63",1,"",""
"4126","Information for Parents | Zika virus | CDC","61",1,"",""
"4127","Information for Parents | Zika virus | CDC","60",1,"",""
"4128","Information for Parents | Zika virus | CDC","55",1,"",""
"4129","Information for Parents | Zika virus | CDC","54",1,"",""
"4130","Information for Parents | Zika virus | CDC","49",1,"",""
"4131","Information for Parents | Zika virus | CDC","42",1,"",""
"4132","Information for Parents | Zika virus | CDC","40",1,"",""
"4133","Information for Parents | Zika virus | CDC","30",1,"",""
"4134","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","1",1653,"",""
"4135","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","2",626,"",""
"4136","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","3",314,"",""
"4137","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","4",145,"",""
"4138","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","5",121,"",""
"4139","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","6",88,"",""
"4140","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","7",69,"",""
"4141","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","9",39,"",""
"4142","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","8",35,"",""
"4143","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","13",29,"",""
"4144","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","12",26,"",""
"4145","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","11",26,"",""
"4146","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","10",19,"",""
"4147","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","15",18,"",""
"4148","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","16",16,"",""
"4149","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","14",10,"",""
"4150","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","17",9,"",""
"4151","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","23",6,"",""
"4152","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","18",6,"",""
"4153","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","40",5,"",""
"4154","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","21",5,"",""
"4155","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","34",4,"",""
"4156","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","27",4,"",""
"4157","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","22",4,"",""
"4158","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","20",4,"",""
"4159","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","50",3,"",""
"4160","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","24",3,"",""
"4161","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","19",3,"",""
"4162","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","33",2,"",""
"4163","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","2192",1,"",""
"4164","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","85",1,"",""
"4165","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","80",1,"",""
"4166","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","74",1,"",""
"4167","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","48",1,"",""
"4168","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","43",1,"",""
"4169","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","42",1,"",""
"4170","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","37",1,"",""
"4171","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","36",1,"",""
"4172","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","35",1,"",""
"4173","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","31",1,"",""
"4174","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","30",1,"",""
"4175","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","29",1,"",""
"4176","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","28",1,"",""
"4177","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","26",1,"",""
"4178","CDC adds The Bahamas to interim travel guidance related to Zika virus | CDC Online Newsroom | CDC","25",1,"",""
"4179","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","1",1288,"",""
"4180","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","3",189,"",""
"4181","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","2",166,"",""
"4182","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","8",152,"",""
"4183","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","5",147,"",""
"4184","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","4",141,"",""
"4185","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","7",130,"",""
"4186","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","6",125,"",""
"4187","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","9",107,"",""
"4188","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","10",96,"",""
"4189","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","11",80,"",""
"4190","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","12",75,"",""
"4191","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","16",46,"",""
"4192","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","14",46,"",""
"4193","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","13",44,"",""
"4194","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","17",33,"",""
"4195","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","23",29,"",""
"4196","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","21",27,"",""
"4197","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","19",27,"",""
"4198","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","18",26,"",""
"4199","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","15",26,"",""
"4200","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","22",21,"",""
"4201","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","20",21,"",""
"4202","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","27",17,"",""
"4203","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","26",17,"",""
"4204","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","24",17,"",""
"4205","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","28",12,"",""
"4206","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","25",11,"",""
"4207","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","60",8,"",""
"4208","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","31",8,"",""
"4209","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","29",7,"",""
"4210","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","47",6,"",""
"4211","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","42",6,"",""
"4212","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","45",5,"",""
"4213","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","30",5,"",""
"4214","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","39",4,"",""
"4215","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","51",3,"",""
"4216","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","41",3,"",""
"4217","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","40",3,"",""
"4218","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","36",3,"",""
"4219","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","34",3,"",""
"4220","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","1434",2,"",""
"4221","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","59",2,"",""
"4222","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","35",2,"",""
"4223","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","32",2,"",""
"4224","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","81",1,"",""
"4225","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","61",1,"",""
"4226","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","48",1,"",""
"4227","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","44",1,"",""
"4228","Clinical Guidance for Healthcare Providers Caring for Women of Reproductive Age | Zika virus | CDC","37",1,"",""
"4229","For Laboratories | Zika virus | CDC","1",1029,"",""
"4230","For Laboratories | Zika virus | CDC","3",157,"",""
"4231","For Laboratories | Zika virus | CDC","7",143,"",""
"4232","For Laboratories | Zika virus | CDC","2",140,"",""
"4233","For Laboratories | Zika virus | CDC","6",138,"",""
"4234","For Laboratories | Zika virus | CDC","5",136,"",""
"4235","For Laboratories | Zika virus | CDC","4",123,"",""
"4236","For Laboratories | Zika virus | CDC","8",120,"",""
"4237","For Laboratories | Zika virus | CDC","9",114,"",""
"4238","For Laboratories | Zika virus | CDC","10",103,"",""
"4239","For Laboratories | Zika virus | CDC","13",93,"",""
"4240","For Laboratories | Zika virus | CDC","11",92,"",""
"4241","For Laboratories | Zika virus | CDC","14",73,"",""
"4242","For Laboratories | Zika virus | CDC","12",73,"",""
"4243","For Laboratories | Zika virus | CDC","16",62,"",""
"4244","For Laboratories | Zika virus | CDC","15",54,"",""
"4245","For Laboratories | Zika virus | CDC","17",45,"",""
"4246","For Laboratories | Zika virus | CDC","19",39,"",""
"4247","For Laboratories | Zika virus | CDC","21",37,"",""
"4248","For Laboratories | Zika virus | CDC","18",35,"",""
"4249","For Laboratories | Zika virus | CDC","20",30,"",""
"4250","For Laboratories | Zika virus | CDC","22",28,"",""
"4251","For Laboratories | Zika virus | CDC","23",24,"",""
"4252","For Laboratories | Zika virus | CDC","27",23,"",""
"4253","For Laboratories | Zika virus | CDC","24",23,"",""
"4254","For Laboratories | Zika virus | CDC","25",22,"",""
"4255","For Laboratories | Zika virus | CDC","28",15,"",""
"4256","For Laboratories | Zika virus | CDC","26",15,"",""
"4257","For Laboratories | Zika virus | CDC","30",14,"",""
"4258","For Laboratories | Zika virus | CDC","38",13,"",""
"4259","For Laboratories | Zika virus | CDC","35",12,"",""
"4260","For Laboratories | Zika virus | CDC","29",12,"",""
"4261","For Laboratories | Zika virus | CDC","33",11,"",""
"4262","For Laboratories | Zika virus | CDC","31",10,"",""
"4263","For Laboratories | Zika virus | CDC","32",9,"",""
"4264","For Laboratories | Zika virus | CDC","46",8,"",""
"4265","For Laboratories | Zika virus | CDC","36",8,"",""
"4266","For Laboratories | Zika virus | CDC","41",6,"",""
"4267","For Laboratories | Zika virus | CDC","53",5,"",""
"4268","For Laboratories | Zika virus | CDC","45",5,"",""
"4269","For Laboratories | Zika virus | CDC","1434",4,"",""
"4270","For Laboratories | Zika virus | CDC","113",4,"",""
"4271","For Laboratories | Zika virus | CDC","108",4,"",""
"4272","For Laboratories | Zika virus | CDC","42",4,"",""
"4273","For Laboratories | Zika virus | CDC","40",4,"",""
"4274","For Laboratories | Zika virus | CDC","100",3,"",""
"4275","For Laboratories | Zika virus | CDC","86",3,"",""
"4276","For Laboratories | Zika virus | CDC","61",3,"",""
"4277","For Laboratories | Zika virus | CDC","59",3,"",""
"4278","For Laboratories | Zika virus | CDC","58",3,"",""
"4279","For Laboratories | Zika virus | CDC","50",3,"",""
"4280","For Laboratories | Zika virus | CDC","44",3,"",""
"4281","For Laboratories | Zika virus | CDC","43",3,"",""
"4282","For Laboratories | Zika virus | CDC","39",3,"",""
"4283","For Laboratories | Zika virus | CDC","34",3,"",""
"4284","For Laboratories | Zika virus | CDC","69",2,"",""
"4285","For Laboratories | Zika virus | CDC","67",2,"",""
"4286","For Laboratories | Zika virus | CDC","52",2,"",""
"4287","For Laboratories | Zika virus | CDC","51",2,"",""
"4288","For Laboratories | Zika virus | CDC","47",2,"",""
"4289","For Laboratories | Zika virus | CDC","37",2,"",""
"4290","For Laboratories | Zika virus | CDC","134",1,"",""
"4291","For Laboratories | Zika virus | CDC","102",1,"",""
"4292","For Laboratories | Zika virus | CDC","93",1,"",""
"4293","For Laboratories | Zika virus | CDC","82",1,"",""
"4294","For Laboratories | Zika virus | CDC","79",1,"",""
"4295","For Laboratories | Zika virus | CDC","73",1,"",""
"4296","For Laboratories | Zika virus | CDC","60",1,"",""
"4297","For Laboratories | Zika virus | CDC","56",1,"",""
"4298","For Laboratories | Zika virus | CDC","49",1,"",""
"4299","Understanding Zika Virus Test Results | Zika virus | CDC","1",1429,"",""
"4300","Understanding Zika Virus Test Results | Zika virus | CDC","2",232,"",""
"4301","Understanding Zika Virus Test Results | Zika virus | CDC","3",195,"",""
"4302","Understanding Zika Virus Test Results | Zika virus | CDC","4",150,"",""
"4303","Understanding Zika Virus Test Results | Zika virus | CDC","5",143,"",""
"4304","Understanding Zika Virus Test Results | Zika virus | CDC","6",119,"",""
"4305","Understanding Zika Virus Test Results | Zika virus | CDC","7",90,"",""
"4306","Understanding Zika Virus Test Results | Zika virus | CDC","9",79,"",""
"4307","Understanding Zika Virus Test Results | Zika virus | CDC","8",70,"",""
"4308","Understanding Zika Virus Test Results | Zika virus | CDC","10",68,"",""
"4309","Understanding Zika Virus Test Results | Zika virus | CDC","11",53,"",""
"4310","Understanding Zika Virus Test Results | Zika virus | CDC","14",50,"",""
"4311","Understanding Zika Virus Test Results | Zika virus | CDC","13",36,"",""
"4312","Understanding Zika Virus Test Results | Zika virus | CDC","12",36,"",""
"4313","Understanding Zika Virus Test Results | Zika virus | CDC","15",25,"",""
"4314","Understanding Zika Virus Test Results | Zika virus | CDC","16",24,"",""
"4315","Understanding Zika Virus Test Results | Zika virus | CDC","24",22,"",""
"4316","Understanding Zika Virus Test Results | Zika virus | CDC","19",21,"",""
"4317","Understanding Zika Virus Test Results | Zika virus | CDC","17",21,"",""
"4318","Understanding Zika Virus Test Results | Zika virus | CDC","20",19,"",""
"4319","Understanding Zika Virus Test Results | Zika virus | CDC","26",17,"",""
"4320","Understanding Zika Virus Test Results | Zika virus | CDC","23",16,"",""
"4321","Understanding Zika Virus Test Results | Zika virus | CDC","40",13,"",""
"4322","Understanding Zika Virus Test Results | Zika virus | CDC","18",13,"",""
"4323","Understanding Zika Virus Test Results | Zika virus | CDC","21",12,"",""
"4324","Understanding Zika Virus Test Results | Zika virus | CDC","27",8,"",""
"4325","Understanding Zika Virus Test Results | Zika virus | CDC","25",8,"",""
"4326","Understanding Zika Virus Test Results | Zika virus | CDC","22",8,"",""
"4327","Understanding Zika Virus Test Results | Zika virus | CDC","38",6,"",""
"4328","Understanding Zika Virus Test Results | Zika virus | CDC","33",6,"",""
"4329","Understanding Zika Virus Test Results | Zika virus | CDC","30",5,"",""
"4330","Understanding Zika Virus Test Results | Zika virus | CDC","28",5,"",""
"4331","Understanding Zika Virus Test Results | Zika virus | CDC","44",4,"",""
"4332","Understanding Zika Virus Test Results | Zika virus | CDC","35",4,"",""
"4333","Understanding Zika Virus Test Results | Zika virus | CDC","31",4,"",""
"4334","Understanding Zika Virus Test Results | Zika virus | CDC","29",4,"",""
"4335","Understanding Zika Virus Test Results | Zika virus | CDC","80",3,"",""
"4336","Understanding Zika Virus Test Results | Zika virus | CDC","56",3,"",""
"4337","Understanding Zika Virus Test Results | Zika virus | CDC","50",3,"",""
"4338","Understanding Zika Virus Test Results | Zika virus | CDC","45",3,"",""
"4339","Understanding Zika Virus Test Results | Zika virus | CDC","42",3,"",""
"4340","Understanding Zika Virus Test Results | Zika virus | CDC","39",3,"",""
"4341","Understanding Zika Virus Test Results | Zika virus | CDC","36",3,"",""
"4342","Understanding Zika Virus Test Results | Zika virus | CDC","34",3,"",""
"4343","Understanding Zika Virus Test Results | Zika virus | CDC","92",2,"",""
"4344","Understanding Zika Virus Test Results | Zika virus | CDC","53",2,"",""
"4345","Understanding Zika Virus Test Results | Zika virus | CDC","41",2,"",""
"4346","Understanding Zika Virus Test Results | Zika virus | CDC","1434",1,"",""
"4347","Understanding Zika Virus Test Results | Zika virus | CDC","123",1,"",""
"4348","Understanding Zika Virus Test Results | Zika virus | CDC","113",1,"",""
"4349","Understanding Zika Virus Test Results | Zika virus | CDC","93",1,"",""
"4350","Understanding Zika Virus Test Results | Zika virus | CDC","86",1,"",""
"4351","Understanding Zika Virus Test Results | Zika virus | CDC","58",1,"",""
"4352","Understanding Zika Virus Test Results | Zika virus | CDC","55",1,"",""
"4353","Understanding Zika Virus Test Results | Zika virus | CDC","51",1,"",""
"4354","Understanding Zika Virus Test Results | Zika virus | CDC","47",1,"",""
"4355","Understanding Zika Virus Test Results | Zika virus | CDC","32",1,"",""
"4356","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","1",2107,"",""
"4357","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","2",336,"",""
"4358","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","3",143,"",""
"4359","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","4",78,"",""
"4360","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","5",47,"",""
"4361","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","6",40,"",""
"4362","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","8",25,"",""
"4363","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","7",25,"",""
"4364","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","9",18,"",""
"4365","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","12",16,"",""
"4366","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","10",15,"",""
"4367","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","11",10,"",""
"4368","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","13",9,"",""
"4369","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","18",7,"",""
"4370","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","16",7,"",""
"4371","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","20",6,"",""
"4372","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","14",5,"",""
"4373","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","27",4,"",""
"4374","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","25",4,"",""
"4375","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","17",4,"",""
"4376","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","32",3,"",""
"4377","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","37",2,"",""
"4378","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","30",2,"",""
"4379","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","21",2,"",""
"4380","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","1434",1,"",""
"4381","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","89",1,"",""
"4382","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","52",1,"",""
"4383","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","45",1,"",""
"4384","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","40",1,"",""
"4385","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","34",1,"",""
"4386","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","31",1,"",""
"4387","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","23",1,"",""
"4388","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","19",1,"",""
"4389","Prenatal Diagnosis of Microcephaly | Zika virus | CDC","15",1,"",""
"4390","Areas At Risk | Zika virus | CDC","1",1901,"",""
"4391","Areas At Risk | Zika virus | CDC","2",213,"",""
"4392","Areas At Risk | Zika virus | CDC","3",141,"",""
"4393","Areas At Risk | Zika virus | CDC","4",88,"",""
"4394","Areas At Risk | Zika virus | CDC","5",78,"",""
"4395","Areas At Risk | Zika virus | CDC","7",61,"",""
"4396","Areas At Risk | Zika virus | CDC","6",61,"",""
"4397","Areas At Risk | Zika virus | CDC","8",45,"",""
"4398","Areas At Risk | Zika virus | CDC","9",37,"",""
"4399","Areas At Risk | Zika virus | CDC","10",30,"",""
"4400","Areas At Risk | Zika virus | CDC","11",25,"",""
"4401","Areas At Risk | Zika virus | CDC","13",20,"",""
"4402","Areas At Risk | Zika virus | CDC","12",19,"",""
"4403","Areas At Risk | Zika virus | CDC","14",15,"",""
"4404","Areas At Risk | Zika virus | CDC","17",12,"",""
"4405","Areas At Risk | Zika virus | CDC","22",9,"",""
"4406","Areas At Risk | Zika virus | CDC","19",9,"",""
"4407","Areas At Risk | Zika virus | CDC","18",9,"",""
"4408","Areas At Risk | Zika virus | CDC","16",9,"",""
"4409","Areas At Risk | Zika virus | CDC","15",9,"",""
"4410","Areas At Risk | Zika virus | CDC","27",7,"",""
"4411","Areas At Risk | Zika virus | CDC","21",7,"",""
"4412","Areas At Risk | Zika virus | CDC","28",5,"",""
"4413","Areas At Risk | Zika virus | CDC","20",5,"",""
