"","page","geostate","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","New York (United States)",39006,"",""
"19019","Prevent Mosquito Bites | Zika virus | CDC","Saint John (Antigua and Barbuda)",6,"",""
"19020","Prevent Mosquito Bites | Zika virus | CDC","Lambeth (United Kingdom)",6,"",""
"19021","Prevent Mosquito Bites | Zika virus | CDC","Somerset (United Kingdom)",6,"",""
"19022","Prevent Mosquito Bites | Zika virus | CDC","Luton (United Kingdom)",6,"",""
"19023","Prevent Mosquito Bites | Zika virus | CDC","Jawa Timur (Indonesia)",6,"",""
"19024","Prevent Mosquito Bites | Zika virus | CDC","Lemesos (Cyprus)",6,"",""
"19025","Prevent Mosquito Bites | Zika virus | CDC","Bexley (United Kingdom)",6,"",""
"19026","Prevent Mosquito Bites | Zika virus | CDC","Milano (Italy)",6,"",""
"19027","Prevent Mosquito Bites | Zika virus | CDC","Newcastle Upon Tyne (United Kingdom)",6,"",""
"19028","Prevent Mosquito Bites | Zika virus | CDC","Northern Mariana Islands (Northern Mariana Islands)",6,"",""
"19029","Prevent Mosquito Bites | Zika virus | CDC","Porto (Portugal)",6,"",""
"19030","Prevent Mosquito Bites | Zika virus | CDC","Bonaire (Bonaire/Sint Eustatius/Saba)",6,"",""
"19031","Prevent Mosquito Bites | Zika virus | CDC","Yucatan (Mexico)",6,"",""
"19032","Prevent Mosquito Bites | Zika virus | CDC","Addis Ababa (Ethiopia)",6,"",""
"19033","Prevent Mosquito Bites | Zika virus | CDC","Pichincha (Ecuador)",6,"",""
"19034","Prevent Mosquito Bites | Zika virus | CDC","Buenos Aires (Argentina)",6,"",""
"19035","Prevent Mosquito Bites | Zika virus | CDC","Powys (United Kingdom)",6,"",""
"19036","Prevent Mosquito Bites | Zika virus | CDC","Perak (Malaysia)",6,"",""
"19037","Prevent Mosquito Bites | Zika virus | CDC","Beirut (Lebanon)",6,"",""
"19038","Prevent Mosquito Bites | Zika virus | CDC","Rochdale (United Kingdom)",6,"",""
"19039","Prevent Mosquito Bites | Zika virus | CDC","Chongqing (China)",6,"",""
"19040","Prevent Mosquito Bites | Zika virus | CDC","Firenze (Italy)",6,"",""
"19041","Prevent Mosquito Bites | Zika virus | CDC","Niederosterreich (Austria)",6,"",""
"19042","Prevent Mosquito Bites | Zika virus | CDC","Malopolskie (Poland)",5,"",""
"19043","Prevent Mosquito Bites | Zika virus | CDC","Kildare (Ireland)",5,"",""
"19044","Prevent Mosquito Bites | Zika virus | CDC","Cavite (Philippines)",5,"",""
"19045","Prevent Mosquito Bites | Zika virus | CDC","Hillingdon (United Kingdom)",5,"",""
"19046","Prevent Mosquito Bites | Zika virus | CDC","Tehran (Iran (Islamic Republic of))",5,"",""
"19047","Prevent Mosquito Bites | Zika virus | CDC","Osaka (Japan)",5,"",""
"19048","Prevent Mosquito Bites | Zika virus | CDC","Karnataka (India)",5,"",""
"19049","Prevent Mosquito Bites | Zika virus | CDC","Stockport (United Kingdom)",5,"",""
"19050","Prevent Mosquito Bites | Zika virus | CDC","Hounslow (United Kingdom)",5,"",""
"19051","Prevent Mosquito Bites | Zika virus | CDC","Niedersachsen (Germany)",5,"",""
"19052","Prevent Mosquito Bites | Zika virus | CDC","Heredia (Costa Rica)",5,"",""
"19053","Prevent Mosquito Bites | Zika virus | CDC","Belize (Belize)",5,"",""
"19054","Prevent Mosquito Bites | Zika virus | CDC","Bournemouth (United Kingdom)",5,"",""
"19055","Prevent Mosquito Bites | Zika virus | CDC","Halton (United Kingdom)",5,"",""
"19056","Prevent Mosquito Bites | Zika virus | CDC","York (United Kingdom)",5,"",""
"19057","Prevent Mosquito Bites | Zika virus | CDC","Newham (United Kingdom)",5,"",""
"19058","Prevent Mosquito Bites | Zika virus | CDC","Ljubljana (Slovenia)",5,"",""
"19059","Prevent Mosquito Bites | Zika virus | CDC","Ha Noi (Viet Nam)",5,"",""
"19060","Prevent Mosquito Bites | Zika virus | CDC","Jersey (Jersey)",5,"",""
"19061","Prevent Mosquito Bites | Zika virus | CDC","Syddanmark (Denmark)",5,"",""
"19062","Prevent Mosquito Bites | Zika virus | CDC","Bay of Plenty (New Zealand)",5,"",""
"19063","Prevent Mosquito Bites | Zika virus | CDC","Enfield (United Kingdom)",5,"",""
"19064","Prevent Mosquito Bites | Zika virus | CDC","Buckinghamshire (United Kingdom)",5,"",""
"19065","Prevent Mosquito Bites | Zika virus | CDC","Reykjavik (Iceland)",5,"",""
"19066","Prevent Mosquito Bites | Zika virus | CDC","Morelos (Mexico)",5,"",""
"19067","Prevent Mosquito Bites | Zika virus | CDC","Amman (Jordan)",5,"",""
"19068","Prevent Mosquito Bites | Zika virus | CDC","Languedoc-Roussillon (France)",5,"",""
"19069","Prevent Mosquito Bites | Zika virus | CDC","Barcelona (Spain)",5,"",""
"19070","Prevent Mosquito Bites | Zika virus | CDC","Oost-Vlaanderen (Belgium)",5,"",""
"19071","Prevent Mosquito Bites | Zika virus | CDC","Sankt-Peterburg (Russian Federation)",5,"",""
"19072","Prevent Mosquito Bites | Zika virus | CDC","Hackney (United Kingdom)",5,"",""
"19073","Prevent Mosquito Bites | Zika virus | CDC","Aquitaine (France)",5,"",""
"19074","Prevent Mosquito Bites | Zika virus | CDC","Mazowieckie (Poland)",5,"",""
"19075","Prevent Mosquito Bites | Zika virus | CDC","Punjab (India)",5,"",""
"19076","Prevent Mosquito Bites | Zika virus | CDC","Nottinghamshire (United Kingdom)",5,"",""
"19077","Prevent Mosquito Bites | Zika virus | CDC","Santa Catarina (Brazil)",5,"",""
"19078","Prevent Mosquito Bites | Zika virus | CDC","Luxembourg (Luxembourg)",5,"",""
"19079","Prevent Mosquito Bites | Zika virus | CDC","Yukon Territory (Canada)",5,"",""
"19080","Prevent Mosquito Bites | Zika virus | CDC","Leicestershire (United Kingdom)",5,"",""
"19081","Prevent Mosquito Bites | Zika virus | CDC","Andhra Pradesh (India)",5,"",""
"19082","Prevent Mosquito Bites | Zika virus | CDC","Peterborough (United Kingdom)",5,"",""
"19083","Prevent Mosquito Bites | Zika virus | CDC","Durham (United Kingdom)",4,"",""
"19084","Prevent Mosquito Bites | Zika virus | CDC","Swindon (United Kingdom)",4,"",""
"19085","Prevent Mosquito Bites | Zika virus | CDC","Alajuela (Costa Rica)",4,"",""
"19086","Prevent Mosquito Bites | Zika virus | CDC","Celje (Slovenia)",4,"",""
"19087","Prevent Mosquito Bites | Zika virus | CDC","Midtjylland (Denmark)",4,"",""
"19088","Prevent Mosquito Bites | Zika virus | CDC","Castries (Saint Lucia)",4,"",""
"19089","Prevent Mosquito Bites | Zika virus | CDC","Louth (Ireland)",4,"",""
"19090","Prevent Mosquito Bites | Zika virus | CDC","Phnom Penh (Cambodia)",4,"",""
"19091","Prevent Mosquito Bites | Zika virus | CDC","Wigan (United Kingdom)",4,"",""
"19092","Prevent Mosquito Bites | Zika virus | CDC","Lefkosia (Cyprus)",4,"",""
"19093","Prevent Mosquito Bites | Zika virus | CDC","Greater Accra (Ghana)",4,"",""
"19094","Prevent Mosquito Bites | Zika virus | CDC","West Sussex (United Kingdom)",4,"",""
"19095","Prevent Mosquito Bites | Zika virus | CDC","Grad Zagreb (Croatia)",4,"",""
"19096","Prevent Mosquito Bites | Zika virus | CDC","Guatemala (Guatemala)",4,"",""
"19097","Prevent Mosquito Bites | Zika virus | CDC","Derby (United Kingdom)",4,"",""
"19098","Prevent Mosquito Bites | Zika virus | CDC","Baghdad (Iraq)",4,"",""
"19099","Prevent Mosquito Bites | Zika virus | CDC","Fife (United Kingdom)",4,"",""
"19100","Prevent Mosquito Bites | Zika virus | CDC","Turks and Caicos Islands (Turks and Caicos Islands)",4,"",""
"19101","Prevent Mosquito Bites | Zika virus | CDC","Hamburg (Germany)",4,"",""
"19102","Prevent Mosquito Bites | Zika virus | CDC","Larnaca (Cyprus)",4,"",""
"19103","Prevent Mosquito Bites | Zika virus | CDC","Cheshire East (United Kingdom)",4,"",""
"19104","Prevent Mosquito Bites | Zika virus | CDC","Guadeloupe (Guadeloupe)",4,"",""
"19105","Prevent Mosquito Bites | Zika virus | CDC","Reading (United Kingdom)",4,"",""
"19106","Prevent Mosquito Bites | Zika virus | CDC","South Lanarkshire (United Kingdom)",4,"",""
"19107","Prevent Mosquito Bites | Zika virus | CDC","Solihull (United Kingdom)",4,"",""
"19108","Prevent Mosquito Bites | Zika virus | CDC","Sint Maarten (Sint Maarten)",4,"",""
"19109","Prevent Mosquito Bites | Zika virus | CDC","Hallands Lan (Sweden)",4,"",""
"19110","Prevent Mosquito Bites | Zika virus | CDC","Sabah (Malaysia)",4,"",""
"19111","Prevent Mosquito Bites | Zika virus | CDC","Al Qahirah (Egypt)",4,"",""
"19112","Prevent Mosquito Bites | Zika virus | CDC","Wakefield (United Kingdom)",4,"",""
"19113","Prevent Mosquito Bites | Zika virus | CDC","Dorset (United Kingdom)",4,"",""
"19114","Prevent Mosquito Bites | Zika virus | CDC","Ar Riyad (Saudi Arabia)",4,"",""
"19115","Prevent Mosquito Bites | Zika virus | CDC","Kingston Upon Hull (United Kingdom)",4,"",""
"19116","Prevent Mosquito Bites | Zika virus | CDC","Bagmati (Nepal)",4,"",""
"19117","Prevent Mosquito Bites | Zika virus | CDC","Al Kuwayt (Kuwait)",4,"",""
"19118","Prevent Mosquito Bites | Zika virus | CDC","Worcestershire (United Kingdom)",4,"",""
"19119","Prevent Mosquito Bites | Zika virus | CDC","Sofia-Grad (Bulgaria)",4,"",""
"19120","Prevent Mosquito Bites | Zika virus | CDC","Guernsey (Guernsey)",3,"",""
"19121","Prevent Mosquito Bites | Zika virus | CDC","Harrow (United Kingdom)",3,"",""
"19122","Prevent Mosquito Bites | Zika virus | CDC","Merton (United Kingdom)",3,"",""
"19123","Prevent Mosquito Bites | Zika virus | CDC","Ouest (Haiti)",3,"",""
"19124","Prevent Mosquito Bites | Zika virus | CDC","Kalmar Lan (Sweden)",3,"",""
"19125","Prevent Mosquito Bites | Zika virus | CDC","Anguilla (Anguilla)",3,"",""
"19126","Prevent Mosquito Bites | Zika virus | CDC","Arbil (Iraq)",3,"",""
"19127","Prevent Mosquito Bites | Zika virus | CDC","West Berkshire (United Kingdom)",3,"",""
"19128","Prevent Mosquito Bites | Zika virus | CDC","Al Jizah (Egypt)",3,"",""
"19129","Prevent Mosquito Bites | Zika virus | CDC","Ankara (Turkey)",3,"",""
"19130","Prevent Mosquito Bites | Zika virus | CDC","Buskerud (Norway)",3,"",""
"19131","Prevent Mosquito Bites | Zika virus | CDC","Pavia (Italy)",3,"",""
"19132","Prevent Mosquito Bites | Zika virus | CDC","Stockton-On-Tees (United Kingdom)",3,"",""
"19133","Prevent Mosquito Bites | Zika virus | CDC","Mexico (Mexico)",3,"",""
"19134","Prevent Mosquito Bites | Zika virus | CDC","Cork (Ireland)",3,"",""
"19135","Prevent Mosquito Bites | Zika virus | CDC","Vilniaus (Lithuania)",3,"",""
"19136","Prevent Mosquito Bites | Zika virus | CDC","Khomas (Namibia)",3,"",""
"19137","Prevent Mosquito Bites | Zika virus | CDC","Sefton (United Kingdom)",3,"",""
"19138","Prevent Mosquito Bites | Zika virus | CDC","Stirling (United Kingdom)",3,"",""
"19139","Prevent Mosquito Bites | Zika virus | CDC","Jiangsu (China)",3,"",""
"19140","Prevent Mosquito Bites | Zika virus | CDC","Barking and Dagenham (United Kingdom)",3,"",""
"19141","Prevent Mosquito Bites | Zika virus | CDC","Guayas (Ecuador)",3,"",""
"19142","Prevent Mosquito Bites | Zika virus | CDC","Northumberland (United Kingdom)",3,"",""
"19143","Prevent Mosquito Bites | Zika virus | CDC","Rhone-Alpes (France)",3,"",""
"19144","Prevent Mosquito Bites | Zika virus | CDC","Overijssel (Netherlands)",3,"",""
"19145","Prevent Mosquito Bites | Zika virus | CDC","Cordoba (Argentina)",3,"",""
"19146","Prevent Mosquito Bites | Zika virus | CDC","Zug (Switzerland)",3,"",""
"19147","Prevent Mosquito Bites | Zika virus | CDC","Laguna (Philippines)",3,"",""
"19148","Prevent Mosquito Bites | Zika virus | CDC","Valencia (Spain)",3,"",""
"19149","Prevent Mosquito Bites | Zika virus | CDC","Rotherham (United Kingdom)",3,"",""
"19150","Prevent Mosquito Bites | Zika virus | CDC","Riga (Latvia)",3,"",""
"19151","Prevent Mosquito Bites | Zika virus | CDC","Thessaloniki (Greece)",3,"",""
"19152","Prevent Mosquito Bites | Zika virus | CDC","East Sussex (United Kingdom)",3,"",""
"19153","Prevent Mosquito Bites | Zika virus | CDC","Barnsley (United Kingdom)",3,"",""
"19154","Prevent Mosquito Bites | Zika virus | CDC","Nordjylland (Denmark)",3,"",""
"19155","Prevent Mosquito Bites | Zika virus | CDC","Madhya Pradesh (India)",3,"",""
"19156","Prevent Mosquito Bites | Zika virus | CDC","Punjab (Pakistan)",3,"",""
"19157","Prevent Mosquito Bites | Zika virus | CDC","Perth and Kinross (United Kingdom)",3,"",""
"19158","Prevent Mosquito Bites | Zika virus | CDC","Central Bedfordshire (United Kingdom)",3,"",""
"19159","Prevent Mosquito Bites | Zika virus | CDC","Vasterbottens Lan (Sweden)",3,"",""
"19160","Prevent Mosquito Bites | Zika virus | CDC","Haryana (India)",3,"",""
"19161","Prevent Mosquito Bites | Zika virus | CDC","Oberosterreich (Austria)",3,"",""
"19162","Prevent Mosquito Bites | Zika virus | CDC","Noord-Brabant (Netherlands)",3,"",""
"19163","Prevent Mosquito Bites | Zika virus | CDC","Sassari (Italy)",3,"",""
"19164","Prevent Mosquito Bites | Zika virus | CDC","Colima (Mexico)",3,"",""
"19165","Prevent Mosquito Bites | Zika virus | CDC","Vestfold (Norway)",3,"",""
"19166","Prevent Mosquito Bites | Zika virus | CDC","Tipperary (Ireland)",3,"",""
"19167","Prevent Mosquito Bites | Zika virus | CDC","Derbyshire (United Kingdom)",3,"",""
"19168","Prevent Mosquito Bites | Zika virus | CDC","Cardiff (United Kingdom)",3,"",""
"19169","Prevent Mosquito Bites | Zika virus | CDC","Carmarthenshire (United Kingdom)",3,"",""
"19170","Prevent Mosquito Bites | Zika virus | CDC","Jawa Barat (Indonesia)",3,"",""
"19171","Prevent Mosquito Bites | Zika virus | CDC","Sibiu (Romania)",3,"",""
"19172","Prevent Mosquito Bites | Zika virus | CDC","Yangon (Myanmar)",3,"",""
"19173","Prevent Mosquito Bites | Zika virus | CDC","Rio Grande Do Sul (Brazil)",3,"",""
"19174","Prevent Mosquito Bites | Zika virus | CDC","Sergipe (Brazil)",3,"",""
"19175","Prevent Mosquito Bites | Zika virus | CDC","Nunavut (Canada)",3,"",""
"19176","Prevent Mosquito Bites | Zika virus | CDC","Islamabad (Pakistan)",3,"",""
"19177","Prevent Mosquito Bites | Zika virus | CDC","Torbay (United Kingdom)",3,"",""
"19178","Prevent Mosquito Bites | Zika virus | CDC","Bishkek (Kyrgyzstan)",3,"",""
"19179","Prevent Mosquito Bites | Zika virus | CDC","Uppsala Lan (Sweden)",3,"",""
"19180","Prevent Mosquito Bites | Zika virus | CDC","Satakunta (Finland)",3,"",""
"19181","Prevent Mosquito Bites | Zika virus | CDC","Teleorman (Romania)",2,"",""
"19182","Prevent Mosquito Bites | Zika virus | CDC","British Virgin Islands (British Virgin Islands)",2,"",""
"19183","Prevent Mosquito Bites | Zika virus | CDC","Ibaraki (Japan)",2,"",""
"19184","Prevent Mosquito Bites | Zika virus | CDC","Manawatu-Wanganui (New Zealand)",2,"",""
"19185","Prevent Mosquito Bites | Zika virus | CDC","Rizal (Philippines)",2,"",""
"19186","Prevent Mosquito Bites | Zika virus | CDC","Solothurn (Switzerland)",2,"",""
"19187","Prevent Mosquito Bites | Zika virus | CDC","Kerkyra (Greece)",2,"",""
"19188","Prevent Mosquito Bites | Zika virus | CDC","Thurrock (United Kingdom)",2,"",""
"19189","Prevent Mosquito Bites | Zika virus | CDC","Kanagawa (Japan)",2,"",""
"19190","Prevent Mosquito Bites | Zika virus | CDC","Kelantan (Malaysia)",2,"",""
"19191","Prevent Mosquito Bites | Zika virus | CDC","Goias (Brazil)",2,"",""
"19192","Prevent Mosquito Bites | Zika virus | CDC","Chiapas (Mexico)",2,"",""
"19193","Prevent Mosquito Bites | Zika virus | CDC","Malaga (Spain)",2,"",""
"19194","Prevent Mosquito Bites | Zika virus | CDC","Wrexham (United Kingdom)",2,"",""
"19195","Prevent Mosquito Bites | Zika virus | CDC","Galway (Ireland)",2,"",""
"19196","Prevent Mosquito Bites | Zika virus | CDC","Santa Fe (Argentina)",2,"",""
"19197","Prevent Mosquito Bites | Zika virus | CDC","Schleswig-Holstein (Germany)",2,"",""
"19198","Prevent Mosquito Bites | Zika virus | CDC","Uttarakhand (India)",2,"",""
"19199","Prevent Mosquito Bites | Zika virus | CDC","Southwest Finland (Finland)",2,"",""
"19200","Prevent Mosquito Bites | Zika virus | CDC","Negroe Occidental (Philippines)",2,"",""
"19201","Prevent Mosquito Bites | Zika virus | CDC","North Ayrshire (United Kingdom)",2,"",""
"19202","Prevent Mosquito Bites | Zika virus | CDC","Agusan Del Sur (Philippines)",2,"",""
"19203","Prevent Mosquito Bites | Zika virus | CDC","Isle of Man (Isle of Man)",2,"",""
"19204","Prevent Mosquito Bites | Zika virus | CDC","Negeri Sembilan (Malaysia)",2,"",""
"19205","Prevent Mosquito Bites | Zika virus | CDC","Perlis (Malaysia)",2,"",""
"19206","Prevent Mosquito Bites | Zika virus | CDC","Taichung City (Taiwan)",2,"",""
"19207","Prevent Mosquito Bites | Zika virus | CDC","Shropshire (United Kingdom)",2,"",""
"19208","Prevent Mosquito Bites | Zika virus | CDC","Luzern (Switzerland)",2,"",""
"19209","Prevent Mosquito Bites | Zika virus | CDC","La Habana (Cuba)",2,"",""
"19210","Prevent Mosquito Bites | Zika virus | CDC","North East Lincolnshire (United Kingdom)",2,"",""
"19211","Prevent Mosquito Bites | Zika virus | CDC","Wirral (United Kingdom)",2,"",""
"19212","Prevent Mosquito Bites | Zika virus | CDC","Trafford (United Kingdom)",2,"",""
"19213","Prevent Mosquito Bites | Zika virus | CDC","Bihor (Romania)",2,"",""
"19214","Prevent Mosquito Bites | Zika virus | CDC","Chaguanas (Trinidad and Tobago)",2,"",""
"19215","Prevent Mosquito Bites | Zika virus | CDC","Waikato (New Zealand)",2,"",""
"19216","Prevent Mosquito Bites | Zika virus | CDC","Hordaland (Norway)",2,"",""
"19217","Prevent Mosquito Bites | Zika virus | CDC","Northern Territory (Australia)",2,"",""
"19218","Prevent Mosquito Bites | Zika virus | CDC","Rajasthan (India)",2,"",""
"19219","Prevent Mosquito Bites | Zika virus | CDC","Como (Italy)",2,"",""
"19220","Prevent Mosquito Bites | Zika virus | CDC","Chiang Mai (Thailand)",2,"",""
"19221","Prevent Mosquito Bites | Zika virus | CDC","Pardubicky Kraj (Czech Republic)",2,"",""
"19222","Prevent Mosquito Bites | Zika virus | CDC","Bermuda (Bermuda)",2,"",""
"19223","Prevent Mosquito Bites | Zika virus | CDC","Richmond Upon Thames (United Kingdom)",2,"",""
"19224","Prevent Mosquito Bites | Zika virus | CDC","Thurgau (Switzerland)",2,"",""
"19225","Prevent Mosquito Bites | Zika virus | CDC","Mecklenburg-Vorpommern (Germany)",2,"",""
"19226","Prevent Mosquito Bites | Zika virus | CDC","Grand Casablanca (Morocco)",2,"",""
"19227","Prevent Mosquito Bites | Zika virus | CDC","Fribourg (Switzerland)",2,"",""
"19228","Prevent Mosquito Bites | Zika virus | CDC","Pomorskie (Poland)",2,"",""
"19229","Prevent Mosquito Bites | Zika virus | CDC","La Paz (Bolivia)",2,"",""
"19230","Prevent Mosquito Bites | Zika virus | CDC","Wicklow (Ireland)",2,"",""
"19231","Prevent Mosquito Bites | Zika virus | CDC","Windsor and Maidenhead (United Kingdom)",2,"",""
"19232","Prevent Mosquito Bites | Zika virus | CDC","Lorraine (France)",2,"",""
"19233","Prevent Mosquito Bites | Zika virus | CDC","Provence-Alpes-Cote-D'azur (France)",2,"",""
"19234","Prevent Mosquito Bites | Zika virus | CDC","Sachsen (Germany)",2,"",""
"19235","Prevent Mosquito Bites | Zika virus | CDC","Al Iskandariyah (Egypt)",2,"",""
"19236","Prevent Mosquito Bites | Zika virus | CDC","Kwazulu-Natal (South Africa)",2,"",""
"19237","Prevent Mosquito Bites | Zika virus | CDC","Asir (Saudi Arabia)",2,"",""
"19238","Prevent Mosquito Bites | Zika virus | CDC","Sunderland (United Kingdom)",2,"",""
"19239","Prevent Mosquito Bites | Zika virus | CDC","Cagliari (Italy)",2,"",""
"19240","Prevent Mosquito Bites | Zika virus | CDC","Gelderland (Netherlands)",2,"",""
"19241","Prevent Mosquito Bites | Zika virus | CDC","Neuquen (Argentina)",2,"",""
"19242","Prevent Mosquito Bites | Zika virus | CDC","Izmir (Turkey)",2,"",""
"19243","Prevent Mosquito Bites | Zika virus | CDC","Parana (Brazil)",2,"",""
"19244","Prevent Mosquito Bites | Zika virus | CDC","Varese (Italy)",2,"",""
"19245","Prevent Mosquito Bites | Zika virus | CDC","Oldham (United Kingdom)",2,"",""
"19246","Prevent Mosquito Bites | Zika virus | CDC","AOL (United States)",2,"",""
"19247","Prevent Mosquito Bites | Zika virus | CDC","Lisburn (United Kingdom)",2,"",""
"19248","Prevent Mosquito Bites | Zika virus | CDC","Distrito Federal (Brazil)",2,"",""
"19249","Prevent Mosquito Bites | Zika virus | CDC","Al Manamah (Bahrain)",2,"",""
"19250","Prevent Mosquito Bites | Zika virus | CDC","Rhondda (United Kingdom)",2,"",""
"19251","Prevent Mosquito Bites | Zika virus | CDC","Limerick (Ireland)",2,"",""
"19252","Prevent Mosquito Bites | Zika virus | CDC","Staffordshire (United Kingdom)",2,"",""
"19253","Prevent Mosquito Bites | Zika virus | CDC","Kirklees (United Kingdom)",2,"",""
"19254","Prevent Mosquito Bites | Zika virus | CDC","Swansea (United Kingdom)",2,"",""
"19255","Prevent Mosquito Bites | Zika virus | CDC","Siena (Italy)",2,"",""
"19256","Prevent Mosquito Bites | Zika virus | CDC","Male (Maldives)",2,"",""
"19257","Prevent Mosquito Bites | Zika virus | CDC","Dundee City (United Kingdom)",2,"",""
"19258","Prevent Mosquito Bites | Zika virus | CDC","Keelung City (Taiwan)",2,"",""
"19259","Prevent Mosquito Bites | Zika virus | CDC","Kyiv (Ukraine)",2,"",""
"19260","Prevent Mosquito Bites | Zika virus | CDC","San Fernando (Trinidad and Tobago)",2,"",""
"19261","Prevent Mosquito Bites | Zika virus | CDC","Sjaelland (Denmark)",2,"",""
"19262","Prevent Mosquito Bites | Zika virus | CDC","Tirane (Albania)",2,"",""
"19263","Prevent Mosquito Bites | Zika virus | CDC","Wokingham (United Kingdom)",2,"",""
"19264","Prevent Mosquito Bites | Zika virus | CDC","Tirol (Austria)",2,"",""
"19265","Prevent Mosquito Bites | Zika virus | CDC","East Riding of Yorkshire (United Kingdom)",2,"",""
"19266","Prevent Mosquito Bites | Zika virus | CDC","Khorasan-E Razavi (Iran (Islamic Republic of))",2,"",""
"19267","Prevent Mosquito Bites | Zika virus | CDC","Tatarstan Respublika (Russian Federation)",2,"",""
"19268","Prevent Mosquito Bites | Zika virus | CDC","Sevilla (Spain)",2,"",""
"19269","Prevent Mosquito Bites | Zika virus | CDC","Guanacaste (Costa Rica)",2,"",""
"19270","Prevent Mosquito Bites | Zika virus | CDC","Martinique (Martinique)",2,"",""
"19271","Prevent Mosquito Bites | Zika virus | CDC","Heilongjiang (China)",2,"",""
"19272","Prevent Mosquito Bites | Zika virus | CDC","Rogaland (Norway)",2,"",""
"19273","Prevent Mosquito Bites | Zika virus | CDC","Bolton (United Kingdom)",2,"",""
"19274","Prevent Mosquito Bites | Zika virus | CDC","Caerphilly (United Kingdom)",2,"",""
"19275","Prevent Mosquito Bites | Zika virus | CDC","Pernambuco (Brazil)",2,"",""
"19276","Prevent Mosquito Bites | Zika virus | CDC","Angus (United Kingdom)",2,"",""
"19277","Prevent Mosquito Bites | Zika virus | CDC","Slough (United Kingdom)",2,"",""
"19278","Prevent Mosquito Bites | Zika virus | CDC","Cheshire West and Chester (United Kingdom)",2,"",""
"19279","Prevent Mosquito Bites | Zika virus | CDC","Midi-Pyrenees (France)",2,"",""
"19280","Prevent Mosquito Bites | Zika virus | CDC","Lewisham (United Kingdom)",2,"",""
"19281","Prevent Mosquito Bites | Zika virus | CDC","Bali (Indonesia)",2,"",""
"19282","Prevent Mosquito Bites | Zika virus | CDC","Highland (United Kingdom)",2,"",""
"19283","Prevent Mosquito Bites | Zika virus | CDC","South Cotabato (Philippines)",2,"",""
"19284","Prevent Mosquito Bites | Zika virus | CDC","Renfrewshire (United Kingdom)",2,"",""
"19285","Prevent Mosquito Bites | Zika virus | CDC","Gyeonggi-DO (South Korea)",2,"",""
"19286","Prevent Mosquito Bites | Zika virus | CDC","Doncaster (United Kingdom)",2,"",""
"19287","Prevent Mosquito Bites | Zika virus | CDC","Aargau (Switzerland)",2,"",""
"19288","Prevent Mosquito Bites | Zika virus | CDC","North Lanarkshire (United Kingdom)",2,"",""
"19289","Prevent Mosquito Bites | Zika virus | CDC","Basel-Stadt (Switzerland)",2,"",""
"19290","Prevent Mosquito Bites | Zika virus | CDC","Terengganu (Malaysia)",2,"",""
"19291","Prevent Mosquito Bites | Zika virus | CDC","No Region (Montserrat)",1,"",""
"19292","Prevent Mosquito Bites | Zika virus | CDC","Setubal (Portugal)",1,"",""
"19293","Prevent Mosquito Bites | Zika virus | CDC","Waterford (Ireland)",1,"",""
"19294","Prevent Mosquito Bites | Zika virus | CDC","Jammu and Kashmir (India)",1,"",""
"19295","Prevent Mosquito Bites | Zika virus | CDC","Newtownabbey (United Kingdom)",1,"",""
"19296","Prevent Mosquito Bites | Zika virus | CDC","Tameside (United Kingdom)",1,"",""
"19297","Prevent Mosquito Bites | Zika virus | CDC","Tarlac (Philippines)",1,"",""
"19298","Prevent Mosquito Bites | Zika virus | CDC","Bourgogne (France)",1,"",""
"19299","Prevent Mosquito Bites | Zika virus | CDC","Troms (Norway)",1,"",""
"19300","Prevent Mosquito Bites | Zika virus | CDC","Zilinsky Kraj (Slovakia (Slovak Republic))",1,"",""
"19301","Prevent Mosquito Bites | Zika virus | CDC","Mato Grosso Do Sul (Brazil)",1,"",""
"19302","Prevent Mosquito Bites | Zika virus | CDC","Valmiera (Latvia)",1,"",""
"19303","Prevent Mosquito Bites | Zika virus | CDC","Faroe Islands (Faroe Islands)",1,"",""
"19304","Prevent Mosquito Bites | Zika virus | CDC","Parnumaa (Estonia)",1,"",""
"19305","Prevent Mosquito Bites | Zika virus | CDC","Zhejiang (China)",1,"",""
"19306","Prevent Mosquito Bites | Zika virus | CDC","Grevenmacher (Luxembourg)",1,"",""
"19307","Prevent Mosquito Bites | Zika virus | CDC","Rabat-Sale-Zemmour-Zaer (Morocco)",1,"",""
"19308","Prevent Mosquito Bites | Zika virus | CDC","Coahuila (Mexico)",1,"",""
"19309","Prevent Mosquito Bites | Zika virus | CDC","North Tyneside (United Kingdom)",1,"",""
"19310","Prevent Mosquito Bites | Zika virus | CDC","Isle of Anglesey (United Kingdom)",1,"",""
"19311","Prevent Mosquito Bites | Zika virus | CDC","Drenthe (Netherlands)",1,"",""
"19312","Prevent Mosquito Bites | Zika virus | CDC","Dumfries and Galloway (United Kingdom)",1,"",""
"19313","Prevent Mosquito Bites | Zika virus | CDC","Songkhla (Thailand)",1,"",""
"19314","Prevent Mosquito Bites | Zika virus | CDC","French Guiana (French Guiana)",1,"",""
"19315","Prevent Mosquito Bites | Zika virus | CDC","Torino (Italy)",1,"",""
"19316","Prevent Mosquito Bites | Zika virus | CDC","Sandwell (United Kingdom)",1,"",""
"19317","Prevent Mosquito Bites | Zika virus | CDC","Saarland (Germany)",1,"",""
