"","page","mobiledevicename","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","::unspecified::",189816,"",""
"22708","Testing for Zika Virus | Zika virus | CDC","T-Mobile Galaxy S4 (SGH-M919)",10,"",""
"22709","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S5 (SM-G900F)",10,"",""
"22710","Testing for Zika Virus | Zika virus | CDC","Samsung SM-G903W",10,"",""
"22711","Testing for Zika Virus | Zika virus | CDC","AT&T Galaxy Note 4 (SM-N910A)",10,"",""
"22712","Testing for Zika Virus | Zika virus | CDC","Sony Xperia Z3 Compact (D5803)",9,"",""
"22713","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Note 4 (SM-N910C)",9,"",""
"22714","Testing for Zika Virus | Zika virus | CDC","AT&T Galaxy S6 (SM-G920A)",9,"",""
"22715","Testing for Zika Virus | Zika virus | CDC","T-Mobile Galaxy S6 Edge (SM-G925T)",9,"",""
"22716","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Tab 4 10.1 (SM-T350)",8,"",""
"22717","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Note 3 4G LTE (SM-N9005)",8,"",""
"22718","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S4 LTE (GT-I9505)",8,"",""
"22719","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S6 (SM-G920R4)",8,"",""
"22720","Testing for Zika Virus | Zika virus | CDC","LG V10 (VS990)",8,"",""
"22721","Testing for Zika Virus | Zika virus | CDC","Motorola Moto G (3rd Gen)",8,"",""
"22722","Testing for Zika Virus | Zika virus | CDC","HTC One M9",8,"",""
"22723","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S4 (SGH-I337M)",8,"",""
"22724","Testing for Zika Virus | Zika virus | CDC","Sprint Moto G (XT1031)",8,"",""
"22725","Testing for Zika Virus | Zika virus | CDC","Asus ZenFone 2 (ZE551ML (Z00AD))",7,"",""
"22726","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S6 (SM-G920I)",7,"",""
"22727","Testing for Zika Virus | Zika virus | CDC","Motorola Moto X Play (XT1563)",7,"",""
"22728","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Note 5 (SM-N920C)",7,"",""
"22729","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Note 5 LTE-A (SM-N920I)",7,"",""
"22730","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S6 (SM-G920T)",7,"",""
"22731","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S6 Edge (SM-G925F)",7,"",""
"22732","Testing for Zika Virus | Zika virus | CDC","AT&T Galaxy S5 Active (SM-G870A)",7,"",""
"22733","Testing for Zika Virus | Zika virus | CDC","Sprint Galaxy S6 Edge (SM-G925P)",7,"",""
"22734","Testing for Zika Virus | Zika virus | CDC","AT&T Galaxy S4 (SGH-I337)",7,"",""
"22735","Testing for Zika Virus | Zika virus | CDC","HTC One",6,"",""
"22736","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S4 Mini LTE (SCH-I435)",6,"",""
"22737","Testing for Zika Virus | Zika virus | CDC","T-Mobile Stylus 2 Plus (K550)",6,"",""
"22738","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S6 Edge (SM-G925W8)",6,"",""
"22739","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Grand Prime Duos (SM-G530AZ)",6,"",""
"22740","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Note 3 (SM-N900V)",6,"",""
"22741","Testing for Zika Virus | Zika virus | CDC","Motorola DROID Ultra 4G LTE (XT1080)",6,"",""
"22742","Testing for Zika Virus | Zika virus | CDC","LG G4 (VS986)",6,"",""
"22743","Testing for Zika Virus | Zika virus | CDC","US Cellular Galaxy S7 (SM-G930R4)",5,"",""
"22744","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S3 (GT-I9300)",5,"",""
"22745","Testing for Zika Virus | Zika virus | CDC","Motorola Moto Z (XT1635-01)",5,"",""
"22746","Testing for Zika Virus | Zika virus | CDC","Sprint Galaxy Note 4 (SM-N910P)",5,"",""
"22747","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy A5 (SM-A500S)",5,"",""
"22748","Testing for Zika Virus | Zika virus | CDC","Verizon G5 (VS987)",5,"",""
"22749","Testing for Zika Virus | Zika virus | CDC","LG G3 (D855)",5,"",""
"22750","Testing for Zika Virus | Zika virus | CDC","MetroPCS Stylo 2 Plus (MS550)",5,"",""
"22751","Testing for Zika Virus | Zika virus | CDC","Xiaomi Redmi Note 4G (HM Note 1LTE)",5,"",""
"22752","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S5 Mini (SM-G800F)",5,"",""
"22753","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Grand Prime (SM-G530H)",5,"",""
"22754","Testing for Zika Virus | Zika virus | CDC","Amazon Fire (2015)",5,"",""
"22755","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Note 5 (SM-N920W8)",5,"",""
"22756","Testing for Zika Virus | Zika virus | CDC","Motorola Moto E3 Power (XT1706)",5,"",""
"22757","Testing for Zika Virus | Zika virus | CDC","T-Mobile Galaxy Note 4 (SM-N910T)",5,"",""
"22758","Testing for Zika Virus | Zika virus | CDC","Oppo F1s (A1601)",5,"",""
"22759","Testing for Zika Virus | Zika virus | CDC","OnePlus OnePlus Two (A2005)",5,"",""
"22760","Testing for Zika Virus | Zika virus | CDC","Amazon Fire HD 8 (2016)",5,"",""
"22761","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S3 (SGH-I747M)",4,"",""
"22762","Testing for Zika Virus | Zika virus | CDC","AT&T Galaxy S5 Mini (SM-G800A)",4,"",""
"22763","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy J7 (SM-J700P)",4,"",""
"22764","Testing for Zika Virus | Zika virus | CDC","Motorola Moto X 2nd Gen (XT1095)",4,"",""
"22765","Testing for Zika Virus | Zika virus | CDC","LG Leon (MS345)",4,"",""
"22766","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S4 (SHV-E300K)",4,"",""
"22767","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S5 Active (SM-G870W)",4,"",""
"22768","Testing for Zika Virus | Zika virus | CDC","Google Nexus 7",4,"",""
"22769","Testing for Zika Virus | Zika virus | CDC","Motorola Moto X 2nd Gen (XT1092)",4,"",""
"22770","Testing for Zika Virus | Zika virus | CDC","Sony Xperia Z3 Compact (D5833)",4,"",""
"22771","Testing for Zika Virus | Zika virus | CDC","Google Nexus 4 (E960)",4,"",""
"22772","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S4 Mini Duos (GT-I9192)",4,"",""
"22773","Testing for Zika Virus | Zika virus | CDC","Motorola Moto Z (XT1650)",4,"",""
"22774","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Grand Prime (SM-G530W)",4,"",""
"22775","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Tab S2 9.7 (SM-T810)",4,"",""
"22776","Testing for Zika Virus | Zika virus | CDC","LG V20 (H918)",4,"",""
"22777","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S6 Edge Plus (SM-G928T)",4,"",""
"22778","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Grand Prime Value Edition (SM-G531H)",4,"",""
"22779","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Note 4 (SM-N910W8)",4,"",""
"22780","Testing for Zika Virus | Zika virus | CDC","T-Mobile Galaxy Avant (SM-G386T)",4,"",""
"22781","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy J5 2016 (SM-J510GN)",4,"",""
"22782","Testing for Zika Virus | Zika virus | CDC","HTC Desire 816",4,"",""
"22783","Testing for Zika Virus | Zika virus | CDC","Sprint Galaxy S5 (SM-G900P)",4,"",""
"22784","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Note 3 (SM-N900T)",4,"",""
"22785","Testing for Zika Virus | Zika virus | CDC","Tecno Y6",4,"",""
"22786","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy A8 Duos (SM-A800I)",4,"",""
"22787","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy J5 (SM-J500G)",4,"",""
"22788","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Tab E Nook (SM-T560NU)",3,"",""
"22789","Testing for Zika Virus | Zika virus | CDC","Verizon G3 (VS985)",3,"",""
"22790","Testing for Zika Virus | Zika virus | CDC","BlackBerry Z10",3,"",""
"22791","Testing for Zika Virus | Zika virus | CDC","LG K7 (MS330)",3,"",""
"22792","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy J2 (SM-J200GU)",3,"",""
"22793","Testing for Zika Virus | Zika virus | CDC","HTC One A9",3,"",""
"22794","Testing for Zika Virus | Zika virus | CDC","Motorola Moto X (XT1049)",3,"",""
"22795","Testing for Zika Virus | Zika virus | CDC","Unknown Generic Android Tablet",3,"",""
"22796","Testing for Zika Virus | Zika virus | CDC","Oppo R7sf",3,"",""
"22797","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S5 (SM-G900I)",3,"",""
"22798","Testing for Zika Virus | Zika virus | CDC","Apple iPod Touch",3,"",""
"22799","Testing for Zika Virus | Zika virus | CDC","LG G Stylo (MS631)",3,"",""
"22800","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S4 (GT-I9500)",3,"",""
"22801","Testing for Zika Virus | Zika virus | CDC","ZTE Maven (Z812)",3,"",""
"22802","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S6 Edge Plus (SM-G928I)",3,"",""
"22803","Testing for Zika Virus | Zika virus | CDC","Microsoft Lumia 950 (RM-1118)",3,"",""
"22804","Testing for Zika Virus | Zika virus | CDC","US Cellular Galaxy S4 (SCH-R970)",3,"",""
"22805","Testing for Zika Virus | Zika virus | CDC","AT&T Galaxy Note 3 (SM-N900A)",3,"",""
"22806","Testing for Zika Virus | Zika virus | CDC","Microsoft Lumia 640 LTE (RM-1075)",3,"",""
"22807","Testing for Zika Virus | Zika virus | CDC","US Cellular Galaxy S6 Edge (SM-G925R4)",3,"",""
"22808","Testing for Zika Virus | Zika virus | CDC","Sprint Galaxy J3 (SM-J320P)",3,"",""
"22809","Testing for Zika Virus | Zika virus | CDC","Sprint G3 (LS990)",3,"",""
"22810","Testing for Zika Virus | Zika virus | CDC","LG G3 (D851)",3,"",""
"22811","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S5 (SM-G900T3)",3,"",""
"22812","Testing for Zika Virus | Zika virus | CDC","BlackBerry Priv (STV100)",3,"",""
"22813","Testing for Zika Virus | Zika virus | CDC","Blu R1 HD",3,"",""
"22814","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Note 5 (SM-N920K)",3,"",""
"22815","Testing for Zika Virus | Zika virus | CDC","Huawei P9 (EVA-L09)",3,"",""
"22816","Testing for Zika Virus | Zika virus | CDC","AT&T G4 (H810)",3,"",""
"22817","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy A3 (SM-A310F)",3,"",""
"22818","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S4 (SGH-M919V)",3,"",""
"22819","Testing for Zika Virus | Zika virus | CDC","Visual Land Prestige Elite 8 (ELITE8Q)",3,"",""
"22820","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy J7 (SM-J700H)",3,"",""
"22821","Testing for Zika Virus | Zika virus | CDC","ZTE Telstra 4GX Plus (Blade A462)",3,"",""
"22822","Testing for Zika Virus | Zika virus | CDC","Motorola Moto X Pure Edition (XT1575)",3,"",""
"22823","Testing for Zika Virus | Zika virus | CDC","AT&T Galaxy S4 Active (SGH-I537)",3,"",""
"22824","Testing for Zika Virus | Zika virus | CDC","OnePlus OnePlus Two (A2003)",3,"",""
"22825","Testing for Zika Virus | Zika virus | CDC","LG V10 (H901)",3,"",""
"22826","Testing for Zika Virus | Zika virus | CDC","T-Mobile G4 (H811)",3,"",""
"22827","Testing for Zika Virus | Zika virus | CDC","LG G5 (H831)",3,"",""
"22828","Testing for Zika Virus | Zika virus | CDC","Motorola DROID Razr HD (XT926)",3,"",""
"22829","Testing for Zika Virus | Zika virus | CDC","T-Mobile Galaxy J7 (SM-J700T)",3,"",""
"22830","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Tab 3 7.0 (SM-T210R)",3,"",""
"22831","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy J3 (SM-J320A)",3,"",""
"22832","Testing for Zika Virus | Zika virus | CDC","Huawei Honor 8 (FRD-L04)",3,"",""
"22833","Testing for Zika Virus | Zika virus | CDC","Sprint Galaxy S4 (SPH-L720)",2,"",""
"22834","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Tab E 8.0 (SM-T377V)",2,"",""
"22835","Testing for Zika Virus | Zika virus | CDC","OnePlus One (E1003)",2,"",""
"22836","Testing for Zika Virus | Zika virus | CDC","Lenovo A7000-a",2,"",""
"22837","Testing for Zika Virus | Zika virus | CDC","Sprint Galaxy S6 Edge+ (SM-G928P)",2,"",""
"22838","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S3 Neo (GT-I9301I)",2,"",""
"22839","Testing for Zika Virus | Zika virus | CDC","Sony Xperia Z1 (C6903)",2,"",""
"22840","Testing for Zika Virus | Zika virus | CDC","LeEco Le Max 2 (Le X820)",2,"",""
"22841","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy A5 (SM-A500FU)",2,"",""
"22842","Testing for Zika Virus | Zika virus | CDC","Sprint Moto E 2nd Gen (XT1526)",2,"",""
"22843","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Note 4 (SM-N910F)",2,"",""
"22844","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Core Prime (SM-G360T)",2,"",""
"22845","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S5 (SM-S902L)",2,"",""
"22846","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Tab A (SM-T550)",2,"",""
"22847","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S4 (SM-S975L)",2,"",""
"22848","Testing for Zika Virus | Zika virus | CDC","Alcatel One Touch Idol 4 (6055U)",2,"",""
"22849","Testing for Zika Virus | Zika virus | CDC","LG Stylus 2 (K540)",2,"",""
"22850","Testing for Zika Virus | Zika virus | CDC","Kyocera DuraForce (E6560)",2,"",""
"22851","Testing for Zika Virus | Zika virus | CDC","Coolpad Note 3 Lite (CP8298 I00)",2,"",""
"22852","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy A3 (SM-A300FU)",2,"",""
"22853","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Young (GT-S6312)",2,"",""
"22854","Testing for Zika Virus | Zika virus | CDC","Microsoft Lumia 950 XL (RM-1116)",2,"",""
"22855","Testing for Zika Virus | Zika virus | CDC","Sony Xperia Z3 (D6603)",2,"",""
"22856","Testing for Zika Virus | Zika virus | CDC","ZTE N817",2,"",""
"22857","Testing for Zika Virus | Zika virus | CDC","US Cellular Galaxy J3 (SM-J320R4)",2,"",""
"22858","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy A5 (SM-A510F)",2,"",""
"22859","Testing for Zika Virus | Zika virus | CDC","T-Mobile K10 (K428)",2,"",""
"22860","Testing for Zika Virus | Zika virus | CDC","HTC One E8",2,"",""
"22861","Testing for Zika Virus | Zika virus | CDC","Camelio Family Tablet",2,"",""
"22862","Testing for Zika Virus | Zika virus | CDC","AT&T Galaxy S6 Edge+ (SM-G928A)",2,"",""
"22863","Testing for Zika Virus | Zika virus | CDC","ZTE Grand X 4 (Z956)",2,"",""
"22864","Testing for Zika Virus | Zika virus | CDC","Sony Xperia Z2 (D6503)",2,"",""
"22865","Testing for Zika Virus | Zika virus | CDC","Huawei Y5II (CUN-L21)",2,"",""
"22866","Testing for Zika Virus | Zika virus | CDC","Verizon V20 (VS995)",2,"",""
"22867","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy A8 (SM-A800F)",2,"",""
"22868","Testing for Zika Virus | Zika virus | CDC","Elephone P9000",2,"",""
"22869","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S5 (SM-G900M)",2,"",""
"22870","Testing for Zika Virus | Zika virus | CDC","ZTE Axon 7 (A2017U)",2,"",""
"22871","Testing for Zika Virus | Zika virus | CDC","HTC Desire 626s",2,"",""
"22872","Testing for Zika Virus | Zika virus | CDC","Sony Xperia Z3+ (E6553)",2,"",""
"22873","Testing for Zika Virus | Zika virus | CDC","Sony Xperia Z5 (E6653)",2,"",""
"22874","Testing for Zika Virus | Zika virus | CDC","Amazon Kindle Fire HDX 7",2,"",""
"22875","Testing for Zika Virus | Zika virus | CDC","Sony Xperia Z3+ (E6533)",2,"",""
"22876","Testing for Zika Virus | Zika virus | CDC","Unknown Generic Windows RT Tablet",2,"",""
"22877","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Note Edge (SM-N915V)",2,"",""
"22878","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Note 3 (SM-N900P)",2,"",""
"22879","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S5 (SM-G901F)",2,"",""
"22880","Testing for Zika Virus | Zika virus | CDC","T-Mobile Galaxy Grand Prime (SM-G530T)",2,"",""
"22881","Testing for Zika Virus | Zika virus | CDC","Motorola Moto G 2nd Gen (XT1068)",2,"",""
"22882","Testing for Zika Virus | Zika virus | CDC","Kyocera Hydro Reach (C6743)",2,"",""
"22883","Testing for Zika Virus | Zika virus | CDC","Sony X Compact (F5321)",2,"",""
"22884","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy On5 LTE (SM-G550T)",2,"",""
"22885","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Tab A (SM-P550)",2,"",""
"22886","Testing for Zika Virus | Zika virus | CDC","Xiaomi Redmi Note 3",2,"",""
"22887","Testing for Zika Virus | Zika virus | CDC","LG K7 4G (K330)",2,"",""
"22888","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Note Edge (SM-N915W8)",2,"",""
"22889","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Note Edge (SM-N915F)",2,"",""
"22890","Testing for Zika Virus | Zika virus | CDC","Huawei Ascend Mate 7 (MT7-TL10)",2,"",""
"22891","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S6 Edge (SM-G925I)",2,"",""
"22892","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S5 LTE-A (SM-G906S)",2,"",""
"22893","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy A5 (SM-A500W)",2,"",""
"22894","Testing for Zika Virus | Zika virus | CDC","Motorola Moto E2",2,"",""
"22895","Testing for Zika Virus | Zika virus | CDC","LG G2 (D802)",2,"",""
"22896","Testing for Zika Virus | Zika virus | CDC","Asus Transformer Pad (TF103C (K010))",2,"",""
"22897","Testing for Zika Virus | Zika virus | CDC","Oppo F1f",2,"",""
"22898","Testing for Zika Virus | Zika virus | CDC","Tecno Y3",2,"",""
"22899","Testing for Zika Virus | Zika virus | CDC","Asus ZenFone 2 Laser (ZE551KL (Z00TD))",2,"",""
"22900","Testing for Zika Virus | Zika virus | CDC","Nokia Asha 203",2,"",""
"22901","Testing for Zika Virus | Zika virus | CDC","Xiaomi Mi 4c",2,"",""
"22902","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Core LTE (SM-G386W)",2,"",""
"22903","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Grand 2 (SM-G7102)",2,"",""
"22904","Testing for Zika Virus | Zika virus | CDC","Motorola Moto X 2nd Gen (XT1097)",2,"",""
"22905","Testing for Zika Virus | Zika virus | CDC","iZoom 1201",2,"",""
"22906","Testing for Zika Virus | Zika virus | CDC","Verizon Ellipsis 7 (QMV7A)",2,"",""
"22907","Testing for Zika Virus | Zika virus | CDC","Lemon P5",2,"",""
"22908","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy On5 LTE (SM-G550T1)",2,"",""
"22909","Testing for Zika Virus | Zika virus | CDC","Huawei P9 Lite (VNS-L22)",1,"",""
"22910","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Note 5 (SM-N9208)",1,"",""
"22911","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S4 Mini (GT-I9195L)",1,"",""
"22912","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S5 Neo (SM-G903M)",1,"",""
"22913","Testing for Zika Virus | Zika virus | CDC","Oppo R1 (R829)",1,"",""
"22914","Testing for Zika Virus | Zika virus | CDC","Huawei P9 Lite (VNS-L31)",1,"",""
"22915","Testing for Zika Virus | Zika virus | CDC","LG G2 (D800)",1,"",""
"22916","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S3 Mini VE (GT-I8200)",1,"",""
"22917","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy J7 Prime (SM-G610F)",1,"",""
"22918","Testing for Zika Virus | Zika virus | CDC","Lenovo S650",1,"",""
"22919","Testing for Zika Virus | Zika virus | CDC","Straight Talk Galaxy Sky (SM-S320VL)",1,"",""
"22920","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy J3 (2016) (SM-J320V)",1,"",""
"22921","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy J3 2016 Duos (SM-J320FN)",1,"",""
"22922","Testing for Zika Virus | Zika virus | CDC","Pantech Vega Iron (IM-A870K)",1,"",""
"22923","Testing for Zika Virus | Zika virus | CDC","AT&T V10 (H900)",1,"",""
"22924","Testing for Zika Virus | Zika virus | CDC","Ninss Tech BBA22",1,"",""
"22925","Testing for Zika Virus | Zika virus | CDC","LG G Pro 2 (D838)",1,"",""
"22926","Testing for Zika Virus | Zika virus | CDC","Oppo R9 (X9009)",1,"",""
"22927","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Tab A 10.1 (SM-T580)",1,"",""
"22928","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Tab4 7.0 3G (SM-T231)",1,"",""
"22929","Testing for Zika Virus | Zika virus | CDC","US Cellular Galaxy S7 edge (SM-G935R4)",1,"",""
"22930","Testing for Zika Virus | Zika virus | CDC","Huawei Honor 8 (FRD-L09)",1,"",""
"22931","Testing for Zika Virus | Zika virus | CDC","RCA RCT6203W46",1,"",""
"22932","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Grand Neo (GT-I9060I)",1,"",""
"22933","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Core LTE (SM-G386F)",1,"",""
"22934","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S3 LTE (SPH-L710)",1,"",""
"22935","Testing for Zika Virus | Zika virus | CDC","BlackBerry DTEK50 (STH100-1)",1,"",""
"22936","Testing for Zika Virus | Zika virus | CDC","T-Mobile G Stylo (H631)",1,"",""
"22937","Testing for Zika Virus | Zika virus | CDC","Kyocera DuraForce (E6560C)",1,"",""
"22938","Testing for Zika Virus | Zika virus | CDC","Softbank Galaxy S6 Edge (404SC)",1,"",""
"22939","Testing for Zika Virus | Zika virus | CDC","Amazon Fire HD 10 (2015)",1,"",""
"22940","Testing for Zika Virus | Zika virus | CDC","Nokia 2700 Classic (2700c)",1,"",""
"22941","Testing for Zika Virus | Zika virus | CDC","Coolpad Rogue (3320A)",1,"",""
"22942","Testing for Zika Virus | Zika virus | CDC","Google Nexus 9",1,"",""
"22943","Testing for Zika Virus | Zika virus | CDC","Apex TM772",1,"",""
"22944","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Tab S (SM-T800)",1,"",""
"22945","Testing for Zika Virus | Zika virus | CDC","Sony Xperia Z1 Compact (D5503)",1,"",""
"22946","Testing for Zika Virus | Zika virus | CDC","ZTE Zmax Pro (Z981)",1,"",""
"22947","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy A5 (SM-A500F)",1,"",""
"22948","Testing for Zika Virus | Zika virus | CDC","Sony Xperia Z5 Compact (E5823)",1,"",""
"22949","Testing for Zika Virus | Zika virus | CDC","Verizon Galaxy Tab 4 10.1 (SM-T537V)",1,"",""
"22950","Testing for Zika Virus | Zika virus | CDC","Google Pixel C",1,"",""
"22951","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy A5 (SM-A510M)",1,"",""
"22952","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy J7 (2016) (SM-J710GN)",1,"",""
"22953","Testing for Zika Virus | Zika virus | CDC","Verizon G Pad 8.3 (VK810)",1,"",""
"22954","Testing for Zika Virus | Zika virus | CDC","Nokia Lumia 635 (RM-974)",1,"",""
"22955","Testing for Zika Virus | Zika virus | CDC","Sony Xperia C (C2305)",1,"",""
"22956","Testing for Zika Virus | Zika virus | CDC","Microsoft Lumia 532 (RM-1031)",1,"",""
"22957","Testing for Zika Virus | Zika virus | CDC","AT&T G5 (H820)",1,"",""
"22958","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy J7 Prime (SM-G610Y)",1,"",""
"22959","Testing for Zika Virus | Zika virus | CDC","Huawei P8 Standard Edition (GRA-L09)",1,"",""
"22960","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Ace 4 (SM-G313F)",1,"",""
"22961","Testing for Zika Virus | Zika virus | CDC","Micromax Canvas Juice (A177)",1,"",""
"22962","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S3 (SGH-T999)",1,"",""
"22963","Testing for Zika Virus | Zika virus | CDC","Motorola Moto X (XT1060)",1,"",""
"22964","Testing for Zika Virus | Zika virus | CDC","T-Mobile Galaxy Note 4 (SM-N910T2)",1,"",""
"22965","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Tab 4 (SM-T230NU)",1,"",""
"22966","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy J1 (SM-J100ML)",1,"",""
"22967","Testing for Zika Virus | Zika virus | CDC","HTC One M9 (6535LVW)",1,"",""
"22968","Testing for Zika Virus | Zika virus | CDC","Asus MeMO Pad 7 (ME176C (K013))",1,"",""
"22969","Testing for Zika Virus | Zika virus | CDC","Vodafone Smart 4 Turbo (895N)",1,"",""
"22970","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Note 5 (SM-N920G)",1,"",""
"22971","Testing for Zika Virus | Zika virus | CDC","Sprint Galaxy Grand Prime (SM-G530P)",1,"",""
"22972","Testing for Zika Virus | Zika virus | CDC","LG G Vista 2 (H740)",1,"",""
"22973","Testing for Zika Virus | Zika virus | CDC","AT&T Galaxy Alpha (SM-G850A)",1,"",""
"22974","Testing for Zika Virus | Zika virus | CDC","Cricket Galaxy Amp prime (SM-J320AZ)",1,"",""
"22975","Testing for Zika Virus | Zika virus | CDC","Sony Xperia SP (C5303)",1,"",""
"22976","Testing for Zika Virus | Zika virus | CDC","Verizon DROID RAZR (XT912)",1,"",""
"22977","Testing for Zika Virus | Zika virus | CDC","HTC One M8 Harmon/Kardon edition (831c)",1,"",""
"22978","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy S Duos 3 (SM-G313HU)",1,"",""
"22979","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Tab S2 9.7 LTE (SM-T815)",1,"",""
"22980","Testing for Zika Virus | Zika virus | CDC","Verizon HTC One M8 (6525LVW)",1,"",""
"22981","Testing for Zika Virus | Zika virus | CDC","Alcatel One Touch Fierce XL (5054N)",1,"",""
"22982","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Note 2 LTE (SCH-I605)",1,"",""
"22983","Testing for Zika Virus | Zika virus | CDC","Samsung Galaxy Note 2 (SGH-I317M)",1,"",""
"22984","Testing for Zika Virus | Zika virus | CDC","Asus Zenfone Go (ZC500TG)",1,"",""
